Country Name,Country Code,Labour Force (2024),Region,%Indoor Essential Workers,%Indoor Vital Workers,%Essential Workers,%Vital Workers,%Armed Forces (Indoor Essential),%Armed Forces (Essential),%Onsite Excluded Essential (ISCO 61+63),%Onsite Excluded Vital (ISCO 61+63),Indoor Essential Workers,Indoor Vital Workers,Essential Workers,Vital Workers,Armed Forces (Indoor Essential),Armed Forces (Essential),Indoor Essential CADR Requirement (L/s),Indoor Vital CADR Requirement (L/s),Scaled ECA Essential (L/s/person),Scaled ECA Vital (L/s/person)
Aruba,ABW,55826.0,Caribbean,0.23076549850840503,0.10731223548237952,0.38278607738384335,0.21880174270340585,,,0.08816518991566123,0.08816518991566123,12882.714719730218,5990.812858039319,21369.41555603044,12214.826088160335,,,406726.10910404735,196659.51676318093,127.16510183218011,132.22162654315068
Afghanistan,AFG,9130000.0,Southern Asia,0.21594784419341986,0.10410715424704334,0.6618982163859317,0.5213039982023313,0.010924081519124879,0.010924081519124879,0.41426773307068354,0.41426773307068354,1971603.8174859234,950498.3182755057,6043130.7156035565,4759505.503587285,99736.86426961015,99736.86426961015,261214527.5829293,136494880.73947388,132.48834541009114,143.60349525616974
Angola,AGO,16000000.0,Middle Africa,0.294190686099402,0.09356188010672566,0.7791362939280077,0.5278588097652493,0.003949750675438742,0.003949750675438742,0.40948684728582696,0.40948684728582696,4707050.977590432,1496990.0817076105,12466180.702848122,8445740.95624399,63196.01080701988,63196.01080701988,568784956.4897357,199261453.33862692,120.83679552178977,133.10806515920947
Albania,ALB,1370000.0,Southern Europe,0.28027550561979403,0.1614561661819351,0.5684044860355706,0.4124092799712406,0.00172417752428452,0.00172417752428452,0.3191216169762968,0.3191216169762968,383977.4426991178,221194.94766925107,778714.1458687317,565000.7135605996,2362.1232082697925,2362.1232082697925,51108773.262949415,31401510.80234469,133.10358260549674,141.9630562688024
Andorra,AND,50504.0,Southern Europe,0.20033337328703696,0.06718901184244014,0.28719999999999996,0.11261298200911858,,,0.01185372304139258,0.01185372304139258,10117.636684488514,3393.3138540905966,14504.748799999998,5687.406043388525,,,19805793.01332273,7475900.568975627,128.0623985714628,144.12786795970848
United Arab Emirates,ARE,7090000.0,Western Asia,0.21424340641532813,0.07847489985534638,0.338885901391434,0.1474410270393206,0.0015646671248330999,0.0015646671248330999,0.011248434381214466,0.011248434381214466,1518985.7514846765,556387.0399744058,2402701.040865267,1045356.8817087831,11093.489915066679,11093.489915066679,185033333.4213107,75305493.88996974,121.81373870061434,135.34731846635725
Argentina,ARG,22300000.0,South America,0.281791320962322,0.07860743188324275,0.3944895479278035,0.13111571928077134,0.0010086005402695024,0.0010086005402695024,0.0013630056373677803,0.0013630056373677803,6283946.457459781,1752945.7309963133,8797116.918790018,2923880.539961201,22491.792048009906,22491.792048009906,782897596.2436569,256890805.84655163,124.58692981291487,146.5480655242783
Armenia,ARM,1510000.0,Western Asia,0.2519219782665701,0.13806185433456605,0.5641022430177852,0.41432920889686825,,,0.3088217464202506,0.3088217464202506,380402.1871825208,208473.40004519475,851794.3869568557,625637.105434271,,,52848441.744924515,30718647.019858904,133.26417470956807,142.54927934180165
American Samoa,ASM,55958.0,Polynesia,0.2129971023822811,0.09924639459208591,0.4947121950289721,0.34624647076448295,,,0.21463553412102385,0.21463553412102385,11918.891855107686,5553.629748583943,27683.105009431223,19375.260011038936,,,1572783.4476029666,774600.7922885236,129.0919632774326,136.44799842669417
Antigua and Barbuda,ATG,46540.0,Caribbean,0.3216811363458125,0.2217340993898841,0.8700072008093995,0.7373006195066895,,,0.3297988234205878,0.3297988234205878,14971.040085534114,10319.504985605205,40490.135125669454,34313.970831841325,,,701236639.8020862,521900630.94408566,132.1158920719187,142.64987368371163
